,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v[54001],-0.06,0.968,-1.872,1.739,0.006,0.008,24465.0,11975.0,1.0
v[54047],-0.063,0.972,-1.989,1.721,0.007,0.008,20249.0,11920.0,1.0
v[54099],0.213,0.949,-1.606,1.969,0.007,0.008,17710.0,11529.0,1.0
v[54035],-0.302,0.962,-2.037,1.565,0.007,0.008,19223.0,11943.0,1.0
v[54089],-0.195,0.975,-2.004,1.603,0.006,0.008,22809.0,12163.0,1.0
v[54025],0.062,0.926,-1.714,1.778,0.006,0.008,24338.0,12070.0,1.0
v[54057],-0.064,0.954,-1.9,1.667,0.006,0.008,21704.0,12783.0,1.0
v[54041],0.002,0.965,-1.898,1.739,0.006,0.008,23028.0,11683.0,1.0
v[54075],-0.089,1.003,-2.014,1.77,0.006,0.01,26396.0,11503.0,1.0
v[54103],0.061,0.971,-1.713,1.924,0.006,0.008,25817.0,12350.0,1.0
v[54105],-0.107,0.989,-1.989,1.731,0.006,0.009,24412.0,11341.0,1.0
v[54015],0.134,0.973,-1.749,1.915,0.006,0.008,22498.0,12627.0,1.0
v[54061],0.039,0.982,-1.753,1.938,0.006,0.009,26024.0,11660.0,1.0
v[54039],0.052,0.965,-1.754,1.853,0.007,0.008,16783.0,12481.0,1.0
v[54077],-0.39,0.997,-2.247,1.511,0.009,0.008,13294.0,10875.0,1.0
v[54085],-0.129,0.985,-1.967,1.733,0.007,0.008,18599.0,11983.0,1.0
v[54043],-0.123,0.963,-1.919,1.69,0.007,0.008,21186.0,12148.0,1.0
v[54007],0.261,0.977,-1.564,2.063,0.007,0.008,19550.0,11544.0,1.0
v[54005],0.524,0.984,-1.35,2.372,0.009,0.008,13312.0,11798.0,1.0
v[54109],0.089,0.943,-1.754,1.797,0.007,0.008,20296.0,11872.0,1.0
v[54083],-0.478,1.002,-2.267,1.461,0.009,0.008,13445.0,12351.0,1.0
v[54055],0.144,0.943,-1.614,1.907,0.007,0.008,18561.0,11531.0,1.0
v[54097],-0.067,0.972,-1.91,1.739,0.006,0.009,26940.0,11556.0,1.0
v[54003],0.195,0.97,-1.704,1.942,0.007,0.008,18715.0,11063.0,1.0
v[54019],0.05,0.928,-1.723,1.783,0.007,0.008,19387.0,12298.0,1.0
