,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[47171],0.677,0.872,-0.992,2.272,0.005,0.008,29059.0,12061.0,1.0
theta[47177],-0.09,0.837,-1.709,1.441,0.004,0.008,34789.0,11219.0,1.0
theta[47179],-1.237,0.689,-2.55,0.036,0.006,0.006,14414.0,10989.0,1.0
theta[47183],0.016,0.844,-1.591,1.57,0.006,0.007,22092.0,11852.0,1.0
theta[47005],0.006,0.898,-1.734,1.609,0.005,0.008,34692.0,10952.0,1.0
theta[47007],0.022,0.905,-1.61,1.797,0.005,0.008,28977.0,10906.0,1.0
theta[47013],-0.44,0.835,-2.053,1.08,0.005,0.007,31064.0,12866.0,1.0
theta[47015],-0.507,0.907,-2.289,1.124,0.005,0.009,30571.0,9545.0,1.0
theta[47083],-0.181,0.894,-1.858,1.512,0.005,0.008,31629.0,11761.0,1.0
theta[47119],0.891,0.666,-0.338,2.159,0.005,0.006,17731.0,11804.0,1.0
theta[47165],-0.896,0.664,-2.166,0.34,0.005,0.006,18222.0,9616.0,1.0
theta[47169],1.082,0.867,-0.643,2.619,0.006,0.007,22644.0,11969.0,1.0
theta[47027],-0.436,0.92,-2.127,1.311,0.005,0.008,32521.0,11340.0,1.0
