,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[51025],0.298,0.919,-1.462,1.977,0.005,0.009,28615.0,11413.0,1.0
theta[51163],0.081,0.918,-1.71,1.766,0.005,0.009,36219.0,10472.0,1.0
theta[51720],-0.331,0.951,-2.103,1.455,0.007,0.008,18919.0,11176.0,1.0
theta[51570],-0.115,0.906,-1.852,1.543,0.005,0.008,32410.0,12372.0,1.0
theta[51023],0.453,0.915,-1.233,2.21,0.007,0.008,19308.0,10791.0,1.0
theta[51520],-0.381,0.957,-2.137,1.445,0.008,0.008,13764.0,11620.0,1.0
theta[51035],-0.112,0.918,-1.794,1.63,0.005,0.009,31759.0,11105.0,1.0
theta[51191],-0.124,0.898,-1.818,1.565,0.006,0.008,24374.0,10799.0,1.0
theta[51139],-0.204,0.914,-1.899,1.546,0.005,0.009,30783.0,11820.0,1.0
theta[51510],-0.338,0.903,-1.973,1.413,0.008,0.008,12442.0,10565.0,1.0
theta[51650],0.013,0.803,-1.505,1.556,0.005,0.008,23237.0,11422.0,1.0
theta[51013],0.138,0.857,-1.471,1.743,0.006,0.008,22075.0,11323.0,1.0
theta[51027],0.889,0.97,-1.009,2.622,0.013,0.008,5612.0,8533.0,1.0
theta[51760],0.63,0.895,-1.13,2.238,0.011,0.008,6766.0,10609.0,1.0
theta[51057],-0.561,0.942,-2.324,1.266,0.008,0.009,14157.0,9962.0,1.0
theta[51185],0.284,0.889,-1.399,1.934,0.007,0.008,18260.0,10489.0,1.0
theta[51183],-0.452,0.961,-2.319,1.291,0.006,0.01,21636.0,10566.0,1.0
theta[51683],0.579,0.956,-1.28,2.299,0.01,0.008,8961.0,10435.0,1.0
theta[51775],-0.018,0.913,-1.782,1.625,0.007,0.008,17357.0,12257.0,1.0
theta[51037],-0.311,0.921,-2.137,1.325,0.005,0.009,28178.0,11304.0,1.0
theta[51179],-0.308,0.782,-1.739,1.226,0.005,0.008,20770.0,11514.0,1.0
