,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v[51720],-0.369,0.956,-2.148,1.45,0.007,0.009,19883.0,10105.0,1.0
v[51570],-0.146,0.89,-1.872,1.504,0.005,0.008,32067.0,11597.0,1.0
v[51023],0.442,0.93,-1.275,2.217,0.006,0.009,23129.0,10523.0,1.0
v[51520],-0.364,0.954,-2.117,1.443,0.008,0.008,13102.0,11184.0,1.0
v[51035],-0.097,0.943,-1.856,1.678,0.005,0.009,32929.0,10607.0,1.0
v[51191],-0.101,0.896,-1.815,1.584,0.006,0.008,23814.0,11152.0,1.0
v[51139],-0.189,0.927,-1.934,1.561,0.006,0.009,28599.0,11095.0,1.0
v[51510],-0.383,0.907,-2.088,1.332,0.009,0.008,11026.0,9628.0,1.0
v[51650],0.045,0.803,-1.446,1.593,0.005,0.008,24691.0,11716.0,1.0
v[51013],0.099,0.869,-1.497,1.753,0.006,0.008,22485.0,11511.0,1.0
v[51027],0.907,0.973,-0.907,2.747,0.014,0.008,4904.0,8340.0,1.0
v[51760],0.746,0.925,-1.054,2.373,0.014,0.008,4668.0,7477.0,1.0
v[51057],-0.572,0.941,-2.319,1.248,0.008,0.009,13735.0,9544.0,1.0
v[51185],0.303,0.903,-1.41,1.995,0.007,0.008,15488.0,10368.0,1.0
v[51183],-0.448,0.954,-2.238,1.335,0.007,0.008,18608.0,10970.0,1.0
v[51683],0.505,0.953,-1.273,2.293,0.009,0.008,10570.0,9422.0,1.0
v[51775],-0.051,0.899,-1.743,1.641,0.007,0.008,18557.0,12379.0,1.0
v[51037],-0.322,0.915,-2.079,1.374,0.006,0.008,22181.0,11265.0,1.0
v[51179],-0.267,0.781,-1.721,1.202,0.006,0.007,19140.0,11060.0,1.0
