,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v[51103],-0.115,0.937,-1.898,1.637,0.007,0.008,17332.0,12178.0,1.0
v[51105],-0.465,0.911,-2.106,1.34,0.007,0.008,15831.0,11787.0,1.0
v[51115],-0.334,0.928,-2.044,1.485,0.007,0.007,18747.0,12004.0,1.0
v[51119],-0.233,0.907,-1.94,1.446,0.006,0.007,20399.0,12652.0,1.0
v[51149],-0.424,0.864,-2.139,1.127,0.007,0.007,16921.0,12078.0,1.0
v[51169],0.124,0.889,-1.534,1.795,0.007,0.008,17416.0,11936.0,1.0
v[51177],0.639,0.718,-0.769,1.962,0.009,0.007,7257.0,9619.0,1.0
v[51011],-0.373,0.93,-2.181,1.334,0.008,0.007,15186.0,11859.0,1.0
v[51067],1.004,0.847,-0.561,2.591,0.009,0.007,9340.0,8914.0,1.0
v[51097],0.169,0.876,-1.51,1.762,0.007,0.007,17380.0,11544.0,1.0
v[51121],-0.398,0.859,-2.059,1.166,0.007,0.007,14515.0,11327.0,1.0
v[51127],0.189,0.885,-1.441,1.887,0.007,0.007,16935.0,11684.0,1.0
v[51051],-0.344,0.891,-2.08,1.293,0.006,0.007,19565.0,12549.0,1.0
v[51083],0.47,0.857,-1.1,2.115,0.007,0.007,16034.0,12221.0,1.0
v[51107],-1.013,0.775,-2.415,0.518,0.01,0.007,6560.0,8614.0,1.0
v[51153],-0.796,0.728,-2.175,0.572,0.008,0.007,9024.0,7703.0,1.0
v[51175],0.63,0.898,-1.124,2.23,0.008,0.007,13799.0,10319.0,1.0
v[51033],0.61,0.854,-0.935,2.272,0.007,0.007,14072.0,10510.0,1.0
v[51073],0.886,0.86,-0.774,2.471,0.008,0.007,10831.0,9704.0,1.0
v[51141],-0.177,0.916,-1.901,1.531,0.007,0.007,19717.0,11876.0,1.0
v[51145],-0.493,0.92,-2.271,1.176,0.007,0.007,17177.0,11602.0,1.0
v[51171],-0.11,0.859,-1.686,1.528,0.007,0.007,16392.0,12523.0,1.0
v[51061],1.236,0.791,-0.219,2.769,0.008,0.008,10417.0,8402.0,1.0
v[51790],-0.143,0.918,-1.824,1.613,0.007,0.008,19230.0,12018.0,1.0
v[51065],0.672,0.886,-1.094,2.264,0.007,0.007,14799.0,10429.0,1.0
v[51007],-0.314,0.935,-2.066,1.43,0.006,0.008,22051.0,10631.0,1.0
v[51840],0.777,0.932,-0.994,2.482,0.013,0.007,5513.0,10967.0,1.0
v[51135],-0.23,0.884,-1.847,1.488,0.006,0.007,19726.0,12089.0,1.0
v[51036],-0.338,0.91,-2.035,1.364,0.007,0.008,17154.0,11239.0,1.0
v[51047],0.572,0.797,-0.942,2.048,0.007,0.007,11706.0,10794.0,1.0
v[51053],-0.419,0.884,-2.095,1.239,0.006,0.007,18674.0,11834.0,1.0
v[51137],0.174,0.832,-1.405,1.687,0.007,0.006,14070.0,11342.0,1.0
v[51079],0.106,0.881,-1.624,1.715,0.007,0.007,17913.0,11982.0,1.0
v[51085],0.906,0.751,-0.534,2.303,0.007,0.007,10845.0,9034.0,1.0
v[51111],-0.509,0.912,-2.243,1.2,0.008,0.007,13974.0,12576.0,1.0
v[51197],-0.405,0.923,-2.14,1.348,0.008,0.007,15111.0,11079.0,1.0
v[51550],0.151,0.728,-1.18,1.593,0.007,0.006,9676.0,10436.0,1.0
v[51660],-0.509,0.931,-2.225,1.28,0.009,0.008,9858.0,10077.0,1.0
v[51003],-1.249,0.828,-2.834,0.285,0.009,0.007,9209.0,9691.0,1.0
v[51019],-0.287,0.83,-1.844,1.268,0.006,0.007,18186.0,11822.0,1.0
